Rózsa Ibolya Virágboltja								
								
Virág	Szín	Darabszám			Könyvelés			
		Rendelt mennyiség	Eladott mennyiség	Maradt	Egységár	Kiadás	Bevétel	Kassza
Rózsa	fehér	150	104	46	400	30000	41600	11600
	rózsaszín	100	50	50	500	25000	25000	0
	vörös	350	343	7	350	61250	120050	58800
Szegfû	fehér	200	186	14	250	25000	46500	21500
	rózsaszín	300	254	46	300	45000	76200	31200
	vörös	250	231	19	200	25000	46200	21200
Gerbera	sárga	150	116	34	400	30000	46400	16400
	rózsaszín	100	85	15	400	20000	34000	14000
	vörös	200	187	13	400	40000	74800	34800
Liliom	fehér	250	240	10	650	81250	156000	74750
	sárga	100	70	30	800	40000	56000	16000
	vörös	100	67	33	900	45000	60300	15300
Összesen		2250	1933	317		467500	783050	315550
Átlag		187,5	161,0833333	26,41666667		38958,33333	65254,16667	26295,83333
